"ID","HistoricalID","FirstName","LastName","Name","Height","Weight","Age","BirthMonth","BirthDay","BirthYear","CurrentLeague","CurrentLeagueID","CurrentTeam","CurrentTeamID","ContractTeam","ContractTeamID","DlgTeam","DlgTeamID","Injury","TimeInjured","Inactive","PositionNumber","Experience","College","City","State","Greed","Happiness","Loyalty","Winner","InsideScoring","JumpShot","FreeThrowShot","ThreePointShot","Handling","Passing","OffensiveRebounding","DefensiveRebounding","PostDefense","PerimeterDefense","Stealing","ShotBlocking","Quickness","Strength","Stamina","Jumping","Pot_Inside","Pot_Jumpshot","Pot_FreeThrow","Pot_3pShot","Pot_Handling","Pot_Passing","Pot_ORebounding","Pot_DRebounding","Pot_PostDefense","Pot_PerimeterDefense","Pot_Stealing","Pot_Blocking","CurrentRating","FutureRating","OverallRating","OverallPotential","Championships","PlayerOfGame","PlayerOfWeek","PlayerOfMonth","Contract1","Contract2","Contract3","Contract4","Contract5","Contract6","Contract7","Contract8","OptionType1","OptionType2","OptionType3","OptionType4","OptionType5","OptionType6","OptionType7","OptionType8","BirdYears"
"51","","Eric","Tsai","Eric Tsai","86","228","32","12","16","1984","USDL","1","Santa Cruz","15","Santa Cruz","15","N/A","0","Hyperextended Knee","0","False","1","11","Navy","St. Charles","MD","28","2","31","37","13","10","43","0","14","5","43","52","51","7","1","26","2","47","11","16","F","F","C","F","F","F","C","C","C","F","F","D","F","D","56","60","0","1","0","0","259701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","","Bo","Pratt","Bo Pratt","79","209","21","7","14","1995","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","3","0","Kansas","Concord","MO","72","50","94","32","1","40","51","18","24","17","5","18","19","36","10","16","45","34","52","54","F","C","C","D","D","D","F","D","D","C","F","F","F","F","41","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","","Kevin","Weaver","Kevin Weaver","82","243","26","1","31","1991","USDL","1","Canton","6","Canton","6","N/A","0","","0","True","1","2","Kansas State","Allen","TX","59","47","48","94","13","11","45","0","22","5","8","6","21","4","6","25","10","71","17","38","D","F","C","F","D","F","F","F","D","F","F","D","F","F","31","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","","Andrew","Richardson","Andrew Richardson","83","241","33","10","6","1983","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","","0","False","1","12","Fresno State","Moreno Valley","CA","2","27","62","45","4","26","9","19","20","8","41","21","41","9","8","17","4","65","52","37","F","D","F","D","D","F","C","D","C","F","F","F","F","F","48","50","0","1","0","0","140458","158015","175572","193130","0","0","0","0","0","0","0","0","0","0","0","0","3"
"55","","Ervin","Henderson","Ervin Henderson","84","260","28","10","12","1988","USDL","1","Grand Rapids","19","Grand Rapids","19","N/A","0","","0","False","1","8","Kansas","Schuyler","NE","19","8","52","74","20","37","56","0","45","18","14","12","26","6","6","20","1","65","23","23","D","C","B","F","C","F","F","F","D","F","F","D","F","F","39","42","0","0","0","0","18500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","","Tony","Thompson","Tony Thompson","82","272","32","11","19","1984","USDL","1","Santa Cruz","15","Santa Cruz","15","N/A","0","Fractured Nose","0","False","2","8","Syracuse","Fairborn","OH","57","16","1","99","26","3","31","7","12","2","11","22","41","4","41","46","13","70","34","38","D","F","D","F","F","F","F","D","C","F","C","C","F","F","51","54","0","2","0","0","175382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"57","","Francisek","Baraga","Francisek Baraga","84","242","29","2","25","1988","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","Broken Finger","0","False","1","8","None","Ljubljana","Slovenia","29","12","26","44","3","7","34","0","34","20","8","30","64","4","2","41","19","54","70","53","F","F","D","F","D","D","F","D","B","F","F","C","D","D","60","62","0","0","0","0","231890","255079","278268","301457","324646","347835","0","0","0","0","0","0","0","0","0","0","2"
"58","","Sherman","White","Sherman White","83","218","21","9","16","1995","USDL","1","Reno","13","Reno","13","N/A","0","Inflamed Appendix","0","False","2","1","Northern Arizona","Chino Hills","CA","74","46","12","11","11","16","52","0","29","10","34","18","47","17","8","37","18","53","28","51","F","D","B","F","D","F","D","D","C","D","F","D","F","F","51","54","0","1","0","0","26506","29157","31807","34458","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","","Zacarías","Criville","Zacarías Criville","85","243","32","10","10","1984","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","Fractured Nose","0","False","2","9","Stephen F. Austin","Durant","OK","2","35","95","31","1","19","45","0","18","5","67","30","40","2","19","41","29","37","68","40","F","D","C","F","F","F","B","D","C","F","D","C","F","F","58","59","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","","Justin","Falco","Justin Falco","82","238","28","5","4","1988","USDL","1","Idaho","9","Idaho","9","N/A","0","Broken Ankle","0","False","2","10","Morgan State","Bowie","MD","14","6","70","80","20","56","41","0","2","18","21","0","35","11","4","38","30","51","61","32","D","B","C","F","F","F","D","F","D","F","F","C","F","F","44","45","0","0","0","0","23000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","","Haywood","Smith","Haywood Smith","87","230","26","2","21","1991","USDL","1","Delaware","18","Delaware","18","N/A","0","","0","False","1","6","UCLA","Murrieta","CA","56","2","57","55","4","26","34","0","19","9","27","10","50","9","13","16","13","74","53","62","F","D","D","F","D","F","D","F","C","F","F","F","F","F","51","54","0","0","0","0","74102","79899","85697","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"62","","Tuan","Green","Tuan Green","83","250","23","9","5","1993","USDL","1","Maine","12","Maine","12","N/A","0","","0","False","1","2","Kansas","Brownsburg","IN","80","6","95","44","9","14","45","0","28","9","15","14","41","20","5","30","9","36","60","27","F","F","C","F","D","F","F","F","C","D","F","D","F","F","41","45","0","0","0","0","11100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","","Rusty","Barton","Rusty Barton","83","227","23","9","30","1993","USDL","1","Reno","13","Reno","13","N/A","0","","0","True","1","0","Oklahoma","Mansfield","AR","51","59","58","89","5","4","29","0","9","2","9","8","24","0","1","9","7","66","22","30","F","F","D","F","F","F","D","F","C","F","F","F","F","F","27","42","0","0","0","0","7600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","","Delbert","Benjamin","Delbert Benjamin","82","273","25","11","7","1991","USDL","1","Sioux Falls","16","Sioux Falls","16","N/A","0","Broken Nose","0","False","1","5","Illinois","New York","NY","37","22","60","24","12","19","30","0","10","8","48","40","31","4","5","7","19","62","51","48","F","D","D","F","F","F","C","C","D","F","F","F","F","F","48","56","0","0","0","0","100327","110360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"83","","Kenneth","Rodriguez","Kenneth Rodriguez","83","248","32","3","1","1985","USDL","1","Bakersfield","5","Bakersfield","5","N/A","0","","0","False","2","10","San Diego","Bakersfield","CA","79","10","45","31","6","27","27","0","17","4","31","42","20","12","22","22","35","57","68","82","F","D","D","F","F","F","D","C","D","F","D","D","F","F","54","55","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","","Benton","Morton","Benton Morton","84","248","24","11","15","1992","USDL","1","Idaho","9","Idaho","9","N/A","0","Jammed Finger","0","False","1","1","Duke","Jacksonville","FL","23","30","53","37","9","8","32","0","7","6","16","44","25","5","20","27","2","71","8","39","F","F","D","F","F","F","F","C","D","F","D","D","F","F","46","55","0","1","0","0","13315","14979","16644","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","","Oscar","Vaughan","Oscar Vaughan","84","240","27","2","11","1990","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","","0","False","1","3","Cal State Fullerton","Cudahy","CA","70","2","14","97","31","48","62","0","48","8","34","8","20","7","17","30","21","66","34","60","D","C","B","F","C","F","D","F","D","F","D","D","F","F","52","55","0","5","1","0","37108","38971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"86","","James","Alessi","James Alessi","84","242","30","5","16","1986","USDL","1","Erie","7","Erie","7","N/A","0","Dislocated Shoulder","6","False","1","8","Utah","Visalia","CA","19","15","91","22","12","15","34","0","1","3","23","15","45","6","3","54","17","43","39","68","F","F","C","F","F","F","D","F","C","F","F","C","F","F","54","59","0","0","0","0","211985","221722","231459","241196","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","","Carlo","Santos","Carlo Santos","84","253","21","10","16","1995","USDL","1","FA","-1","FA","-1","N/A","0","","0","True","1","0","Washington","McKinleyville","CA","49","51","34","3","8","12","46","0","15","7","10","10","11","7","19","14","8","56","46","27","F","F","C","F","F","F","F","F","F","F","D","D","F","F","30","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","","Miro","Mankoc","Miro Mankoc","85","236","33","4","24","1983","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","","0","False","1","11","None","Kranj","Slovenia","87","15","45","82","6","40","59","0","6","9","33","16","58","1","18","18","29","58","72","68","F","C","B","F","F","F","D","F","B","F","F","D","F","D","59","62","0","9","0","0","295308","307413","319518","331623","0","0","0","0","0","0","0","0","0","0","0","0","1"
"89","","Robert","Perez","Robert Perez","86","239","28","5","25","1988","USDL","1","Texas","17","Texas","17","N/A","0","","0","False","1","9","Jacksonville State","San Bernardino","CA","56","31","50","79","8","26","57","0","15","13","4","44","66","6","9","48","6","69","51","22","F","D","C","F","F","F","F","C","B","F","F","C","D","D","62","63","0","0","0","0","245159","259711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"90","","Tobias","Jenkins","Tobias Jenkins","84","228","17","12","1","1999","USDL","1","Iowa","10","Iowa","10","N/A","0","","0","True","1","1","Northern Iowa","Joliet","IL","36","41","73","71","5","10","47","0","12","17","12","18","12","8","2","11","42","48","57","52","F","F","C","F","D","D","D","D","D","F","F","F","F","F","35","43","0","0","0","0","7600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","","Hubert","Taylor","Hubert Taylor","86","240","31","6","2","1985","USDL","1","Toronto","21","Toronto","21","N/A","0","","0","False","2","8","New Mexico","Shiprock","NM","41","33","41","22","5","33","55","0","14","12","36","18","69","10","12","65","4","59","24","23","F","D","B","F","F","F","D","D","B","F","F","B","F","D","59","61","1","7","0","0","231890","244541","257191","269842","282493","0","0","0","0","0","0","0","0","0","0","0","7"
"65","","Kendrick","Madden","Kendrick Madden","83","244","30","12","13","1986","USDL","1","Erie","7","Erie","7","N/A","0","","0","False","1","11","Providence","Evansburg","PA","38","32","49","81","37","13","35","0","16","13","48","22","13","0","7","36","6","68","28","48","D","F","C","F","F","F","C","D","F","F","F","D","F","F","51","53","0","0","1","0","185540","186412","187284","188156","0","0","0","0","0","0","0","0","0","0","0","0","6"
"66","","Ray","Lewis","Ray Lewis","83","238","24","1","18","1993","USDL","1","Sioux Falls","16","Sioux Falls","16","N/A","0","","0","False","1","2","Northern Arizona","Belmont","CA","74","26","44","89","10","21","45","0","9","2","7","18","38","4","6","21","20","41","58","77","F","D","C","F","F","F","F","D","C","F","F","D","F","F","46","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","","Donte","Dalrymple","Donte Dalrymple","85","233","31","6","12","1985","USDL","1","Delaware","18","Delaware","18","N/A","0","Stiff Neck","0","False","1","11","Nebraska","Springfield","IL","2","49","6","42","15","33","56","0","20","15","47","25","33","1","25","42","5","50","16","39","F","D","B","F","D","F","C","D","D","F","D","C","F","F","52","56","0","9","0","0","64818","70003","75189","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"68","","Eutropio","Francia","Eutropio Francia","84","233","33","6","27","1983","USDL","1","Oklahoma City","20","Oklahoma City","20","N/A","0","Broken Nose","0","False","1","13","Auburn","Pinewood","FL","86","2","37","76","8","10","39","0","10","5","48","37","38","9","10","15","1","75","13","56","F","F","C","F","F","F","C","C","D","F","F","D","F","F","54","57","0","0","0","0","247316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"69","","Scott","Roberts","Scott Roberts","86","235","28","2","7","1989","USDL","1","Westchester","22","Westchester","22","N/A","0","","0","False","1","5","Michigan State","Philadelphia","PA","9","2","79","77","6","35","59","0","14","4","34","7","29","12","13","27","0","74","31","23","F","D","B","F","F","F","C","F","D","F","F","D","F","F","39","41","0","1","0","0","14100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","","John","Hart","John Hart","90","214","28","10","21","1988","USDL","1","FA","-1","FA","-1","N/A","0","","0","True","1","5","Stanford","Tacoma","WA","1","61","100","97","21","15","12","0","19","9","14","10","35","7","8","12","21","54","31","49","D","D","F","F","D","F","F","F","D","F","F","F","F","F","42","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","","Elliott","Horn","Elliott Horn","83","226","19","11","12","1997","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","1","0","Arizona State","Summit","AZ","72","15","35","77","7","3","34","0","9","3","2","19","9","2","8","13","27","65","63","86","D","F","D","F","D","F","F","C","F","F","F","C","F","F","39","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","","Lonnie","Orth","Lonnie Orth","84","256","31","10","5","1985","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","10","Michigan","Sterling Heights","MI","94","69","97","39","17","4","31","0","12","23","5","10","37","4","20","29","1","49","28","19","F","F","D","F","F","D","F","F","C","F","D","D","F","F","38","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","","Daniel","Small","Daniel Small","83","285","28","7","16","1988","USDL","1","Reno","13","Reno","13","N/A","0","Broken Finger","0","False","1","10","None","Perth","Australia","63","2","80","78","35","7","27","0","40","7","38","7","34","14","13","34","7","68","28","20","D","F","D","F","C","F","C","F","D","F","F","D","F","F","47","51","0","0","0","0","88923","95629","102334","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"74","","Patrick","Thompson","Patrick Thompson","81","238","30","10","15","1986","USDL","1","Grand Rapids","19","Grand Rapids","19","N/A","0","Bruised Cheekbone","0","False","2","7","Hawaii","Haiku-Pauwela","HI","40","23","65","76","10","27","60","0","44","16","60","23","74","8","8","38","2","44","32","33","F","D","B","F","C","F","B","D","B","F","F","C","F","F","54","58","0","5","0","0","179972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"75","","Mason","Adams","Mason Adams","80","239","36","11","1","1980","USDL","1","Oklahoma City","20","Oklahoma City","20","N/A","0","","0","False","2","16","Morehead State","Bellevue","KY","23","2","80","35","31","7","30","1","13","7","33","34","9","7","12","56","5","69","13","37","D","F","D","F","F","F","D","D","F","F","F","B","F","F","43","44","0","0","0","0","23800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","","Godzimir","Veselica","Godzimir Veselica","84","243","21","4","28","1995","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","1","0","None","Bjelovar","Croatia","12","26","27","4","1","11","53","0","17","5","3","4","29","5","6","7","1","47","16","19","F","D","C","F","D","F","F","F","C","F","F","D","F","F","24","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","","Jaime","Jones","Jaime Jones","85","260","26","6","15","1990","USDL","1","Canton","6","Canton","6","N/A","0","Severe Migraines","0","False","1","4","Minnesota","Appleton","WI","62","16","56","93","13","16","53","0","15","7","10","28","24","1","1","46","10","66","35","50","F","D","C","F","D","F","F","D","D","F","F","C","F","F","49","53","0","0","0","0","20250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"78","","Shannon","Monte","Shannon Monte","74","225","20","8","15","1996","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","4","0","Manhattan","New York","NY","84","17","59","16","0","18","74","0","8","5","2","5","4","6","16","2","78","78","65","34","F","C","B","F","F","F","F","F","F","F","C","F","F","F","23","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","","Kevin","Davis","Kevin Davis","85","248","34","3","14","1983","USDL","1","Delaware","18","Delaware","18","N/A","0","","0","False","1","10","Cincinnati","Chicago","IL","31","41","22","1","39","8","31","1","7","7","37","25","51","21","18","64","21","66","50","41","C","F","D","F","F","F","D","D","C","D","F","B","D","D","71","74","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","","Emmitt","Bowman","Emmitt Bowman","84","244","27","7","24","1989","USDL","1","Iowa","10","Iowa","10","N/A","0","","0","False","1","8","Louisiana Tech","Timberlane","LA","69","17","15","62","16","35","68","0","14","4","13","31","30","3","19","16","9","80","37","22","D","C","B","F","F","F","F","D","D","F","D","F","F","F","46","50","0","3","0","0","88923","100038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"81","","Hugo","Harris","Hugo Harris","83","245","20","12","28","1996","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","1","0","Davidson","Philadelphia","PA","97","53","3","72","12","8","43","0","11","4","22","26","14","5","5","12","19","71","49","34","D","F","C","F","F","F","D","C","D","F","F","D","F","F","38","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","","Robert","Wilkins","Robert Wilkins","83","256","22","5","15","1994","USDL","1","Toronto","21","Toronto","21","N/A","0","","0","False","1","1","Maryland","Halfway","MD","25","2","70","60","28","20","43","0","14","3","11","32","25","13","13","22","6","64","5","41","C","D","C","F","D","F","F","D","D","D","D","D","F","F","44","58","1","0","0","0","8335","11100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","","William","Eversole","William Eversole","84","230","21","7","5","1995","USDL","1","Draft","-2","Draft","-2","N/A","0","","0","False","1","0","Auburn","New York","NY","39","100","20","42","23","31","16","0","9","3","17","19","13","12","9","20","39","68","74","53","D","D","F","F","F","F","F","D","F","F","F","D","F","F","47","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","","Daniel","Martinez","Daniel Martinez","84","246","33","7","3","1983","USDL","1","Texas","17","Texas","17","N/A","0","","0","False","1","14","Austin Peay","Garland","TX","15","7","79","14","16","30","57","0","9","6","27","13","63","17","11","14","1","66","13","26","F","D","B","F","F","F","D","F","B","F","F","F","F","F","49","50","0","1","0","0","204613","206260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"94","","Ollie","Flowers","Ollie Flowers","84","234","30","4","7","1987","USDL","1","Canton","6","Canton","6","N/A","0","Jammed Finger","0","False","1","11","Villanova","New Castle","PA","68","25","97","62","14","10","39","0","33","6","41","15","41","4","10","25","15","75","55","48","F","F","C","F","D","F","C","F","C","F","F","D","F","F","55","59","0","3","0","0","225419","236538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","","Eugenio","Hall","Eugenio Hall","83","214","25","5","10","1991","USDL","1","Sioux Falls","16","Sioux Falls","16","N/A","0","Severe Migraines","0","False","1","2","St. Francis-NY","Manchester","NH","1","2","53","57","20","20","45","0","29","13","14","26","38","4","4","24","5","64","44","35","D","D","C","F","D","F","F","D","D","F","F","D","F","F","48","50","0","0","0","0","24079","27089","30099","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"96","","Roy","Roberts","Roy Roberts","85","228","25","1","13","1992","USDL","1","Bakersfield","5","Bakersfield","5","N/A","0","","0","False","1","2","Southern Illinois","Benavides","TX","80","33","17","71","37","5","32","0","16","3","3","12","56","2","15","32","7","47","40","28","C","F","D","F","D","F","F","F","B","F","D","D","F","D","52","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","","Ratibor","Babich","Ratibor Babich","83","246","24","2","12","1993","USDL","1","Westchester","22","Westchester","22","N/A","0","","0","False","1","1","None","Krizevci","Croatia","49","43","96","23","4","13","46","0","10","1","14","16","30","4","5","24","17","59","34","62","F","D","C","F","D","F","D","D","C","F","F","D","F","F","40","52","0","2","0","0","7600","11100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","","Andy","Irwin","Andy Irwin","81","234","35","3","2","1982","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","14","Colgate","Bridgeport","PA","32","28","100","97","7","15","43","0","7","1","20","52","28","3","13","26","8","71","37","25","F","F","C","F","F","F","D","C","D","F","F","D","F","F","43","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","","Joe","Scott","Joe Scott","84","258","25","12","13","1991","USDL","1","Grand Rapids","19","Grand Rapids","19","N/A","0","Sprained Knee","0","False","1","3","Cal State Bakersfield","Sunnyvale","CA","92","21","27","36","19","6","37","0","12","5","23","17","51","7","35","32","13","59","17","53","D","F","C","F","D","F","D","D","B","F","C","C","F","D","54","76","0","0","0","0","33293","37455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"100","","James","Sabin","James Sabin","83","229","25","4","26","1991","USDL","1","Iowa","10","Iowa","10","N/A","0","Inflamed Appendix","0","False","1","7","Oklahoma State","Taylorsville","UT","47","35","90","56","18","31","34","0","25","6","48","30","33","6","13","7","27","46","72","52","D","C","C","F","D","F","C","C","C","F","F","F","F","D","53","60","0","4","1","0","132528","141052","149576","158101","0","0","0","0","0","0","0","0","0","0","0","0","3"
"101","","Antione","Garcia","Antione Garcia","84","249","29","6","6","1987","USDL","1","Westchester","22","Westchester","22","N/A","0","","0","False","1","10","None","Sunnyvale","CA","30","17","67","73","14","15","28","0","5","2","9","37","69","23","9","19","1","70","49","38","F","F","D","F","F","F","F","D","B","D","F","D","D","D","60","62","0","0","0","0","245159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","","John","Smith","John Smith","83","238","24","6","6","1992","USDL","1","Sioux Falls","16","Sioux Falls","16","N/A","0","Sprained Knee","0","False","1","1","Green Bay","Duluth","MN","21","40","80","13","21","7","43","0","18","11","49","34","31","6","5","1","11","53","21","46","D","F","C","F","D","F","B","C","C","F","F","F","F","D","48","63","0","0","0","0","13315","14543","15770","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
