FirstName,LastName,Height,Weight,Position,DOB,Uniform,City,State,College,Exp,Injury,TimeInjured,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Team,Contract1,Contract2,Contract3,Contract4,Contract5,Contract6,Contract7,BirdYears,Option,Picname,InjuryAvoidance
Tuan,Green,83,238,C,9/5/1993,53,Brownsburg,IN,Kansas,1,,0,8,10,14,19,46,49,0,0,0,27,38,8,12,36,46,19,20,4,5,25,29,13,14,13,14,85,37,9,25,56,MNE,11100,0,0,0,0,0,0,0,None,,33
Rusty,Barton,83,226,C,9/30/1993,52,Mansfield,AR,Oklahoma,0,,0,4,9,3,6,29,34,0,0,0,8,17,2,3,20,49,0,0,1,2,8,15,8,21,7,17,18,61,7,29,16,RNO,7600,0,0,0,0,0,0,0,None,,4
Delbert,Benjamin,82,271,C,11/7/1991,53,New York,NY,Illinois,4,,0,12,17,19,26,30,34,0,0,0,9,12,7,9,30,42,3,4,4,7,6,8,42,54,40,59,92,60,17,45,48,SFS,100327,110360,0,0,0,0,0,4,None,,46
Kendrick,Madden,83,229,C,12/13/1986,42,Evansburg,PA,Providence,10,,0,32,35,13,16,38,46,0,0,0,15,16,14,14,12,13,0,0,6,9,34,35,44,55,21,25,39,67,6,48,26,ERI,185540,186412,187284,188156,0,0,0,6,None,,25
Ray,Lewis,83,234,C,1/18/1993,43,Belmont,CA,Northern Arizona,2,,0,8,15,22,41,49,49,0,0,0,9,13,2,4,34,51,4,6,6,8,19,37,6,9,15,30,40,38,21,78,51,FA,0,0,0,0,0,0,0,0,None,,90
Donte,Dalrymple,85,228,C,6/12/1985,40,Springfield,IL,Nebraska,10,,0,14,14,36,36,63,66,0,0,0,18,23,14,18,35,37,1,1,24,25,42,49,44,44,25,25,47,56,5,40,12,D87,64818,70003,75189,0,0,0,0,0,Player,,54
Eutropio,Francia,84,229,PF,6/27/1983,53,Pinewood,FL,Auburn,12,Broken Nose,0,7,8,10,10,39,40,0,0,0,9,11,5,5,40,40,9,9,9,11,14,19,47,54,38,38,48,69,1,62,12,OCB,247316,0,0,0,0,0,0,2,None,,30
Scott,Roberts,86,229,C,2/7/1989,35,Philadelphia,PA,Michigan State,4,,0,5,6,33,37,56,67,0,0,0,14,16,4,4,26,30,10,11,11,15,25,28,32,42,7,7,53,75,0,20,26,WSK,14100,0,0,0,0,0,0,0,None,,65
John,Hart,90,201,C,10/21/1988,33,Tacoma,WA,Stanford,4,,0,20,21,14,19,12,13,0,0,0,18,23,9,11,30,32,6,8,7,11,11,13,14,19,9,10,46,55,21,42,24,LAD,14100,0,0,0,0,0,0,0,None,,42
Mark,Wilson,84,215,C,4/5/1981,51,Wichita,KS,Kansas,14,,0,51,51,11,14,41,44,0,0,0,20,25,8,11,35,42,9,9,6,9,24,31,2,2,18,24,49,63,5,30,12,MNE,215016,0,0,0,0,0,0,7,None,,1
Lonnie,Orth,84,246,C,10/5/1985,0,Sterling Heights,MI,Michigan,9,,0,17,17,4,4,33,34,0,0,0,13,14,23,23,34,44,4,4,19,22,29,30,5,5,8,10,73,44,2,21,22,WSK,23000,0,0,0,0,0,0,0,None,,17
Daniel,Small,83,284,C,7/16/1988,43,Perth,Australia,None,9,Broken Finger,0,30,32,6,9,30,35,0,0,0,41,54,6,8,34,42,14,18,11,13,29,35,36,42,6,7,43,63,7,21,23,RNO,88923,95629,102334,0,0,0,0,4,None,,8
Patrick,Thompson,81,230,PF,10/15/1986,40,Haiku-Pauwela,HI,Hawaii,6,,0,9,10,26,33,63,63,0,0,0,45,46,15,16,80,80,7,8,7,8,40,45,60,66,20,26,16,45,2,32,27,GRD,179972,0,0,0,0,0,0,6,None,,22
Mason,Adams,80,237,PF,11/1/1980,43,Bellevue,KY,Morehead State,15,,0,29,34,7,7,31,37,1,1,1,13,13,7,9,9,9,7,7,12,14,49,62,29,36,29,34,67,75,5,45,21,OCB,23800,0,0,0,0,0,0,0,None,,92
Wesley,Rodgers,83,219,C,2/10/1979,52,Penn Hills,PA,Texas A&M-CC,13,,0,29,31,15,20,43,50,0,0,0,24,24,5,5,21,28,15,16,19,19,29,38,54,70,37,43,45,80,21,70,59,OCB,303048,308748,0,0,0,0,0,7,None,,56
Jaime,Jones,85,254,C,6/15/1990,31,Appleton,WI,Minnesota,3,Severe Migraines,0,12,18,16,27,50,57,0,0,0,14,24,6,8,22,27,1,1,1,1,42,50,8,10,22,27,32,60,10,40,28,CAN,20250,0,0,0,0,0,0,3,None,,55
Robert,Hunt,83,247,C,3/28/1992,41,Houston,TX,Arkansas,3,,0,2,5,7,12,41,42,0,0,0,17,35,8,17,16,28,4,9,18,32,11,29,9,21,2,4,19,57,9,33,19,FA,0,0,0,0,0,0,0,0,None,,6
Kevin,Davis,85,243,C,3/14/1983,50,Chicago,IL,Cincinnati,10,,0,40,42,7,8,31,38,1,1,1,6,7,7,7,47,54,20,21,17,19,57,64,39,39,22,28,34,71,28,42,52,FA,0,0,0,0,0,0,0,0,None,,0
Emmitt,Bowman,84,231,C,7/24/1989,51,Timberlane,LA,Louisiana Tech,7,,0,15,20,30,46,68,69,0,0,0,12,14,4,4,26,29,2,3,18,23,16,19,13,20,31,33,48,76,8,21,33,IAE,88923,100038,0,0,0,0,0,6,None,,12
Len,Gatlin,89,228,C,4/15/1978,52,San Francisco,CA,Southern Methodist,19,Jammed Finger,0,2,3,29,29,53,59,0,0,0,22,22,17,18,34,35,19,23,7,10,59,59,28,34,71,73,66,67,30,18,34,D87,298404,307371,0,0,0,0,0,2,None,,73
Robert,Wilkins,83,242,C,5/15/1994,44,Halfway,MD,Maryland,0,,0,23,46,19,38,44,47,0,0,0,13,27,2,3,21,35,12,23,13,20,19,28,11,20,26,39,83,66,6,40,0,T95,8335,11100,0,0,0,0,0,0,None,,11
Kenneth,Rodriguez,83,241,C,3/1/1985,32,Bakersfield,CA,San Diego,10,,0,5,6,28,28,27,33,0,0,0,16,19,3,4,20,22,12,12,22,25,21,23,28,36,43,43,9,63,41,95,74,FA,0,0,0,0,0,0,0,0,None,,33
Benton,Morton,84,245,C,11/15/1992,41,Jacksonville,FL,Duke,0,,0,8,11,7,9,32,32,0,0,0,6,8,5,7,22,32,4,5,18,23,26,39,15,18,41,58,47,72,2,37,5,IDS,13315,14979,16644,0,0,0,0,0,None,,32
Oscar,Vaughan,84,232,C,2/11/1990,51,Cudahy,CA,Cal State Fullerton,2,,0,27,34,42,46,60,71,0,0,0,49,58,7,8,19,25,6,7,15,18,31,31,32,36,8,8,78,58,20,61,25,FWN,37108,38971,0,0,0,0,0,2,None,,59
James,Alessi,84,230,C,5/16/1986,41,Visalia,CA,Utah,7,,0,11,13,15,15,37,45,0,0,0,1,1,3,3,43,55,6,6,2,3,61,61,21,25,14,17,88,42,18,67,42,ERI,211985,221722,231459,241196,0,0,0,0,None,,77
Carlo,Santos,84,240,C,10/16/1995,54,McKinleyville,CA,Washington,0,,0,8,15,10,20,46,50,0,0,0,14,22,6,11,9,17,6,10,18,39,13,23,9,13,9,18,53,55,8,28,39,TXL,7600,0,0,0,0,0,0,0,None,,42
Miro,Mankoc,85,235,C,4/24/1983,34,Kranj,Slovenia,None,10,,0,5,7,40,44,66,74,0,0,0,5,6,9,10,63,63,1,1,16,19,18,19,36,37,17,17,42,58,32,70,70,FWN,295308,307413,319518,331623,0,0,0,1,None,,57
Robert,Perez,86,231,C,5/25/1988,42,San Bernardino,CA,Jacksonville State,8,,0,8,8,25,25,54,55,0,0,0,13,14,12,12,64,66,6,6,9,9,41,43,4,4,44,44,59,66,6,23,40,TXL,245159,259711,0,0,0,0,0,2,None,,94
Tobias,Jenkins,84,222,C,3/12/1997,45,Joliet,IL,Northern Iowa,0,,0,4,8,9,16,45,46,0,0,0,11,26,16,26,11,25,7,13,2,3,11,21,11,27,16,27,31,48,43,49,58,IAE,7600,0,0,0,0,0,0,0,None,,22
Hubert,Taylor,86,224,PF,6/2/1985,31,Shiprock,NM,New Mexico,7,,0,5,5,29,33,59,63,0,0,0,14,14,11,11,68,68,10,10,12,14,59,59,36,38,16,20,43,56,4,26,17,T95,231890,244541,257191,269842,282493,0,0,7,None,,68
Chris,Poff,81,251,C,2/4/1982,43,Moultrie,GA,Georgia,15,,0,2,3,18,18,45,48,0,0,0,10,12,14,16,35,35,0,0,8,9,3,3,12,15,31,33,12,65,19,38,40,T95,23800,0,0,0,0,0,0,0,None,,1
Daniel,Martinez,84,237,C,7/3/1983,35,Garland,TX,Austin Peay,13,,0,15,20,31,33,58,63,0,0,0,8,9,6,6,62,62,17,19,10,12,13,14,24,33,15,15,93,71,1,29,14,TXL,204613,206260,0,0,0,0,0,4,None,,40
Ollie,Flowers,84,231,C,4/7/1987,41,New Castle,PA,Villanova,10,Jammed Finger,0,12,14,10,11,37,41,0,0,0,31,32,5,6,39,50,4,4,10,14,21,28,37,47,14,16,83,74,15,51,47,CAN,225419,236538,0,0,0,0,0,0,None,,62
Eugenio,Hall,83,211,C,5/10/1991,33,Manchester,NH,St. Francis-NY,1,Severe Migraines,0,18,19,22,22,47,49,0,0,0,27,34,13,13,36,39,4,4,4,4,22,24,12,15,28,28,8,59,4,33,41,SFS,24079,27089,30099,0,0,0,0,1,None,,81
Roy,Roberts,85,227,C,1/13/1992,33,Benavides,TX,Southern Illinois,2,,0,34,54,4,6,35,36,0,0,0,17,27,2,3,45,64,2,2,17,23,33,38,3,3,11,13,88,40,7,29,39,FA,0,0,0,0,0,0,0,0,None,,68
Ratibor,Babich,83,245,C,2/12/1993,51,Krizevci,Croatia,None,0,,0,3,7,12,23,49,53,0,0,0,10,21,1,3,24,46,3,6,4,8,21,37,13,24,13,26,41,59,15,62,34,WSK,7600,11100,0,0,0,0,0,0,None,,76
Andy,Irwin,81,231,C,3/2/1982,41,Bridgeport,PA,Colgate,13,,0,7,7,15,19,42,49,0,0,0,6,7,1,2,29,30,3,3,15,15,26,31,21,21,53,56,50,65,8,34,41,OCB,23800,0,0,0,0,0,0,0,None,,98
Joe,Scott,84,247,C,12/13/1991,0,Sunnyvale,CA,Cal State Bakersfield,2,,0,18,33,5,12,37,42,0,0,0,10,25,4,8,42,75,6,12,29,62,29,58,19,32,14,34,80,57,12,51,13,GRD,33293,37455,0,0,0,0,0,2,None,,24
James,Sabin,83,225,C,4/26/1991,32,Taylorsville,UT,Oklahoma State,6,,0,16,21,29,41,36,45,0,0,0,23,38,5,7,30,44,5,8,12,15,6,8,38,51,30,39,97,48,26,44,70,IAE,132528,141052,149576,158101,0,0,0,3,None,,35
Antione,Garcia,84,234,C,6/6/1987,43,Sunnyvale,CA,None,9,,0,13,16,15,15,31,33,0,0,0,4,6,2,3,66,67,22,23,8,10,19,19,9,9,38,38,30,65,6,42,44,WSK,245159,0,0,0,0,0,0,0,None,,22
John,Smith,83,223,C,6/6/1992,0,Duluth,MN,Green Bay,0,,0,21,31,7,11,39,41,0,0,0,17,27,9,14,24,48,5,8,4,7,1,2,45,80,31,46,93,48,11,48,16,SFS,13315,14543,15770,0,0,0,0,0,None,,73
Ward,Miller,84,228,C,2/28/1994,42,Deltona,FL,Michigan State,0,,0,8,18,5,14,39,44,0,0,0,1,1,3,6,13,26,8,16,3,6,8,18,17,42,43,82,59,55,36,56,83,BKR,23781,23832,23883,23935,0,0,0,0,None,,73
Loren,Kieffer,81,211,PF,4/13/1995,40,San Jose,CA,Washington,0,,0,4,10,11,33,62,63,0,0,0,7,17,4,10,6,16,13,33,16,35,8,18,10,30,9,21,20,66,39,53,65,WSK,7600,11100,0,0,0,0,0,0,None,,46
Ali,Nelson,78,231,PF,10/9/1986,55,Hempstead,TX,Arizona,9,,0,7,8,35,46,68,76,0,0,0,3,4,7,10,24,26,7,8,23,27,41,44,12,14,28,30,39,49,12,31,31,FA,0,0,0,0,0,0,0,0,None,,28
Stanford,Wynne,83,220,C,11/28/1985,45,Cut Off,LA,Texas Tech,9,Sprained Ankle,0,8,8,15,20,49,50,24,26,21,18,19,7,9,30,38,3,3,13,13,43,44,46,55,26,26,66,41,11,20,49,GRD,175382,186839,0,0,0,0,0,4,None,,65
Forrest,Calvo,80,227,PF,6/24/1989,54,Pierce,NE,Nebraska,7,,0,12,15,50,64,70,76,0,0,0,12,15,3,4,17,27,2,2,7,9,8,13,1,1,23,35,42,67,25,32,40,ERI,29618,33320,0,0,0,0,0,1,None,,9
David,Martin,83,238,PF,12/7/1981,41,South Wenatchee,WA,Southern Utah,14,,0,12,13,39,51,42,46,2,2,2,18,22,9,9,49,67,4,6,11,14,12,16,2,3,28,34,43,61,15,20,19,D87,72128,0,0,0,0,0,0,4,None,,60
Lester,Fagan,81,211,PF,12/18/1990,42,Laurel Park,VA,Virginia,2,,0,19,27,6,9,32,39,0,0,0,23,33,4,6,25,34,13,18,8,12,25,33,7,11,24,34,33,47,17,28,49,CAN,12900,14512,0,0,0,0,0,2,None,,84
Joel,Lee,82,234,PF,3/17/1992,53,Hackensack,NJ,Purdue,4,,0,10,15,20,28,53,58,0,0,0,17,23,3,5,24,32,1,1,1,1,9,14,28,37,13,20,5,42,14,44,23,FA,0,0,0,0,0,0,0,0,None,,57
Sabastian,Murga,81,216,C,8/23/1980,45,Lárisa,Greece,None,13,,0,15,19,40,40,56,62,0,0,0,37,38,15,15,27,33,13,14,7,7,35,40,25,25,31,41,36,63,26,35,38,CAN,166467,187275,208084,0,0,0,0,1,None,,80
Virmantas,Daukszas,82,212,C,12/23/1985,55,Klaipeda,Lithuania,None,10,,0,8,11,63,63,38,43,0,0,0,39,52,16,22,19,20,17,21,49,49,9,10,40,40,32,36,13,61,14,43,58,MNE,23800,0,0,0,0,0,0,0,None,,46
Gary,Stgermain,83,237,PF,5/12/1989,43,Ballwin,MO,Kentucky,4,,0,39,56,31,46,67,76,60,76,79,32,34,30,32,31,36,25,32,17,23,37,41,55,58,35,46,66,57,22,21,31,SCZ,221992,249741,277490,0,0,0,0,5,None,,74
Urbano,Aguila,81,233,PF,6/16/1979,30,Cordoba,Argentina,None,18,,0,17,20,11,14,36,44,0,0,0,26,28,2,2,21,22,3,4,16,22,46,48,42,44,9,9,50,63,21,36,51,FWN,72128,74881,0,0,0,0,0,0,None,,55
Bo,Yi,80,225,PF,5/25/1992,34,Boston,MA,Iona,1,Severe Migraines,0,30,41,12,20,45,50,17,22,25,29,33,2,3,11,14,1,2,23,38,24,32,42,56,15,22,33,59,18,46,57,IDS,24079,27089,30099,0,0,0,0,1,None,,65
Deandre,O'Neal,80,224,PF,10/11/1992,40,Chicago,IL,Illinois-Chicago,0,,0,13,22,25,38,61,68,0,0,0,11,17,8,13,10,19,2,4,5,8,2,5,11,18,10,21,33,51,32,34,61,RIO,7600,0,0,0,0,0,0,0,None,,31
Mark,Stutz,82,221,PF,5/6/1980,34,Waterbury,CT,Siena,13,,0,13,16,17,19,42,49,11,11,11,1,1,5,6,44,50,9,10,18,18,31,39,28,38,17,21,39,63,44,80,75,OCB,270538,273267,0,0,0,0,0,5,None,,66
Daniel,Brown,82,229,PF,5/14/1996,44,Payson,AZ,Arizona,0,,0,2,5,32,59,54,55,30,53,48,7,11,6,11,13,25,2,4,14,27,9,15,19,40,15,22,63,54,19,27,43,IAE,7600,11100,0,0,0,0,0,0,None,,10
Edward,Rinaldi,82,233,PF,12/25/1992,42,Atkinson,IL,Valparaiso,0,,0,9,12,11,15,40,45,0,0,0,14,24,12,14,15,26,13,22,16,23,17,24,34,56,13,16,48,55,22,40,26,LAD,7600,11100,0,0,0,0,0,0,None,,10
Brian,Bakken,81,240,PF,7/15/1989,45,Hoboken,NJ,Pittsburgh,6,,0,5,6,15,17,29,33,0,0,0,20,28,4,6,14,19,12,15,23,28,29,31,8,10,7,9,79,46,25,56,33,FA,0,0,0,0,0,0,0,0,None,,20
Sydney,Carter,83,247,C,5/31/1993,32,Missoula,MT,Washington State,0,,0,9,15,8,15,41,45,0,0,0,19,39,18,30,16,30,0,1,14,21,7,16,24,49,13,23,32,67,50,38,48,BKR,7600,11100,0,0,0,0,0,0,None,,42
Ed,Small,83,244,C,12/19/1987,32,Kirkwood,MO,Middle Tennessee,7,,0,19,19,24,27,32,33,33,45,46,35,35,15,17,20,20,0,0,9,9,12,12,26,33,31,32,35,56,13,18,31,SCZ,88923,94232,99541,0,0,0,0,0,None,,26
Thomas,Stokes,80,238,PF,8/24/1992,53,Oak Creek,WI,Oakland,0,,0,4,9,15,39,59,64,0,0,0,12,27,3,7,17,45,0,1,4,8,4,12,9,17,10,21,63,67,13,33,42,TXL,7600,11100,0,0,0,0,0,0,None,,28
Arthur,Williams,80,244,PF,4/29/1988,50,Glendale,CA,Southern California,6,,0,30,43,16,24,44,54,25,28,30,7,7,11,11,7,9,22,25,8,12,12,15,14,15,38,45,84,65,11,36,14,LAD,51520,56672,61824,0,0,0,0,4,None,,46
David,Burnett,79,232,PF,5/11/1986,50,Washington,DC,Georgetown,7,,0,34,37,49,49,32,35,0,0,0,36,36,4,4,13,13,4,4,7,7,36,37,28,28,7,8,68,54,19,21,38,TXL,18500,0,0,0,0,0,0,0,None,,51
Chris,Lennon,81,230,PF,12/23/1980,32,Wichita Falls,TX,Sam Houston State,12,,0,16,19,13,15,41,45,0,0,0,30,32,10,10,21,25,6,6,10,11,15,15,54,54,28,38,5,38,31,49,61,T95,140458,147925,155391,0,0,0,0,2,None,,39
Vasaris,Mykalaitis,80,236,PF,2/13/1983,54,Visaginas,Lithuania,None,13,,0,11,14,30,32,40,43,0,0,0,13,13,17,17,12,14,13,17,36,44,44,53,36,42,11,15,31,42,14,41,16,FA,0,0,0,0,0,0,0,0,None,,55
Ralph,Thomas,80,223,PF,4/16/1985,41,San Jose,CA,Washington State,8,,0,24,28,29,30,51,60,0,0,0,16,18,1,1,32,41,4,5,11,11,8,8,26,26,18,18,69,42,26,41,53,RNO,79890,87879,95868,0,0,0,0,0,None,,55
Winfred,Edwards,82,230,PF,6/22/1991,51,Albuquerque,NM,Air Force,3,,0,15,15,36,36,27,31,0,0,0,31,32,12,15,21,25,3,3,16,21,12,15,19,20,27,32,27,50,22,54,52,RIO,20250,0,0,0,0,0,0,3,None,,5
Don,Thomas,82,205,PF,1/25/1987,31,Tallahassee,FL,None,6,,0,31,34,28,32,51,62,0,0,0,22,26,13,14,16,18,2,2,14,16,14,15,9,10,19,25,64,37,13,29,34,FA,0,0,0,0,0,0,0,0,None,,51
Justin,Mancini,79,255,PF,1/20/1987,51,El Paso,TX,Iona,5,Inflamed Appendix,0,32,35,29,32,60,62,15,15,15,21,29,0,0,4,5,24,30,7,10,47,50,12,15,36,37,53,56,26,58,25,SFS,118905,133768,148631,0,0,0,0,0,None,,40
Jerry,Lacroix,79,230,PF,12/23/1978,54,Garland,TX,Texas,18,,0,14,17,14,15,41,45,6,7,7,20,26,10,13,17,19,17,22,12,13,14,14,32,32,25,29,20,45,22,47,30,MNE,23800,0,0,0,0,0,0,0,None,,72
Richard,Rourke,82,216,PF,10/12/1984,30,Harlingen,TX,Texas,8,,0,13,14,22,23,45,53,1,1,1,31,34,8,8,17,17,2,3,33,37,46,46,27,31,15,19,47,66,21,58,21,T95,73636,75240,76843,0,0,0,0,1,None,,33
Rico,Brown,79,201,PF,11/23/1982,50,Long Beach,CA,UNLV,11,,0,8,11,48,53,41,47,2,3,3,18,22,11,11,7,8,6,6,3,3,25,25,24,29,6,6,55,59,17,62,14,FA,0,0,0,0,0,0,0,0,None,,86
James,Carter,80,247,PF,12/2/1982,44,Houston,TX,Kentucky,10,,0,46,46,21,27,41,49,0,0,0,13,15,4,5,28,36,4,4,2,2,42,56,45,53,19,19,87,49,45,88,61,RNO,307693,308880,0,0,0,0,0,0,None,,31
Bryant,Lewis,82,229,PF,11/6/1985,55,New York,NY,Seton Hall,8,,0,74,74,19,22,49,52,21,21,25,14,17,8,9,27,34,8,8,16,17,52,52,13,13,39,39,1,62,40,54,71,FA,0,0,0,0,0,0,0,0,None,,44
Deandre,Garcia,80,237,PF,1/20/1984,43,Seattle,WA,Oregon,10,,0,19,21,25,25,53,55,0,0,0,16,16,10,12,17,22,16,20,21,22,59,60,36,42,4,4,58,37,37,46,80,D87,23800,0,0,0,0,0,0,0,None,,36
Johnie,Lopez,81,232,C,12/4/1988,45,San Luis Obispo,CA,UC Santa Barbara,6,,0,12,13,19,26,47,56,0,0,0,24,25,13,14,42,42,5,7,5,5,24,24,36,43,31,43,46,39,13,26,49,OCB,66575,74897,0,0,0,0,0,3,None,,42
Dion,Otero,79,214,PF,3/14/1986,42,Allen,OK,Kansas,10,,0,4,4,19,21,42,47,0,0,0,30,40,29,39,49,49,1,1,13,15,10,12,25,32,9,11,66,76,34,64,33,SFS,85909,96648,107386,0,0,0,0,3,None,,9
Burl,Brawner,81,232,PF,12/16/1985,44,Carthage,MO,Creighton,11,Sprained Knee,0,21,22,30,32,53,62,0,0,0,46,52,32,34,8,8,5,5,23,25,8,11,22,24,43,43,74,57,30,55,35,BKR,23800,0,0,0,0,0,0,0,None,,53
Gordon,Serrano,79,228,PF,7/9/1988,33,Montclair,NJ,Old Dominion,5,,0,6,7,12,14,43,44,0,0,0,17,20,4,4,54,54,3,3,8,10,14,18,41,45,30,30,42,46,13,32,58,D87,61364,63865,66366,0,0,0,0,1,None,,36
