"ID","HistoricalID","FirstName","LastName","Name","Height","Weight","Age","BirthMonth","BirthDay","BirthYear","CurrentLeague","CurrentLeagueID","CurrentTeam","CurrentTeamID","ContractTeam","ContractTeamID","DlgTeam","DlgTeamID","Injury","TimeInjured","Inactive","PositionNumber","Experience","College","City","State","Greed","Happiness","Loyalty","Winner","InsideScoring","JumpShot","FreeThrowShot","ThreePointShot","Handling","Passing","OffensiveRebounding","DefensiveRebounding","PostDefense","PerimeterDefense","Stealing","ShotBlocking","Quickness","Strength","Stamina","Jumping","Pot_Inside","Pot_Jumpshot","Pot_FreeThrow","Pot_3pShot","Pot_Handling","Pot_Passing","Pot_ORebounding","Pot_DRebounding","Pot_PostDefense","Pot_PerimeterDefense","Pot_Stealing","Pot_Blocking","CurrentRating","FutureRating","OverallRating","OverallPotential","Championships","PlayerOfGame","PlayerOfWeek","PlayerOfMonth","Contract1","Contract2","Contract3","Contract4","Contract5","Contract6","Contract7","Contract8","OptionType1","OptionType2","OptionType3","OptionType4","OptionType5","OptionType6","OptionType7","OptionType8","BirdYears"
"52","","Dorofei","Rodzianko","Dorofei Rodzianko","83","223","27","5","25","1988","USDL","1","FA","-1","FA","-1","N/A","0","","0","True","1","7","None","Sayansk","Russia","47","65","21","71","F-","D-","C-","F-","C-","F-","F-","F ","D ","F-","F+","F+","F-","C+","D-","C ","F ","D ","D ","F ","D ","F ","F ","F ","D ","F ","F ","F ","F","F","28","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","","Kevin","Weaver","Kevin Weaver","82","240","25","1","31","1991","USDL","1","FA","-1","FA","-1","N/A","0","","0","True","1","2","Kansas State","Allen","TX","59","55","48","94","F+","F ","C ","F-","D ","F-","F ","F-","D-","F-","F ","D ","F+","B ","F+","C-","D ","F ","C ","F ","D ","F ","F ","F ","D ","F ","F ","D ","F","F","28","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","","Andrew","Richardson","Andrew Richardson","83","226","32","10","6","1983","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","","0","False","1","11","Fresno State","Moreno Valley","CA","2","26","62","45","F-","D ","F ","F+","D-","F ","C ","D-","C-","F ","F ","D-","F ","B ","C ","C ","F ","D ","F ","D ","D ","F ","C ","D ","D ","F ","F ","F ","F","F","46","50","0","0","0","0","140458","158015","175572","193130","0","0","0","0","0","0","0","0","0","0","0","0","3"
"55","","Ervin","Henderson","Ervin Henderson","84","249","27","10","12","1988","USDL","1","Grand Rapids","19","Grand Rapids","19","N/A","0","","0","False","1","7","Kansas","Schuyler","NE","19","2","52","74","D-","C-","C+","F-","C ","D-","F+","F+","D ","F-","F-","D ","F-","B ","D ","D+","D ","C ","B ","F ","C ","F ","F ","F ","D ","F ","F ","D ","F","F","38","42","0","0","0","0","18500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","","Tony","Thompson","Tony Thompson","82","270","31","11","19","1984","USDL","1","Santa Cruz","15","Santa Cruz","15","N/A","0","Fractured Nose","0","False","1","7","Syracuse","Fairborn","OH","57","40","1","99","D ","F-","D+","F ","F+","F-","F ","D ","C ","F-","C ","C ","F+","B-","C-","C ","D ","F ","D ","F ","F ","F ","F ","D ","C ","F ","C ","C ","F","F","50","54","0","0","0","0","175382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"57","","Francisek","Baraga","Francisek Baraga","84","234","28","2","25","1988","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","Broken Foot","0","False","1","7","None","Ljubljana","Slovenia","29","7","26","44","F-","F ","D+","F-","C-","D-","F ","C-","C+","F-","F-","C ","D-","C+","C+","C ","F ","F ","D ","F ","D ","F ","F ","D ","C ","F ","F ","C ","F","F","56","58","0","0","0","0","231890","255079","278268","301457","324646","347835","0","0","0","0","0","0","0","0","0","0","2"
"58","","Sherman","White","Sherman White","83","209","20","9","16","1995","USDL","1","Reno","13","Reno","13","N/A","0","","0","False","1","0","Northern Arizona","Chino Hills","CA","74","41","12","11","F+","F+","C+","F-","D ","F ","C-","D-","C ","D-","F ","C-","D-","C ","D ","C ","F ","D ","C ","F ","D ","F ","D ","D ","C ","D ","F ","C ","F","F","47","59","0","1","0","0","26506","29157","31807","34458","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","","Zacarías","Criville","Zacarías Criville","85","237","31","10","10","1984","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","9","Stephen F. Austin","Durant","OK","2","96","95","31","F-","D-","C ","F-","D-","F-","B-","C-","C ","F-","D ","C ","C-","C-","B ","C-","F ","D ","C ","F ","F ","F ","A ","D ","C ","F ","D ","D ","F","D","57","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","","Justin","Falco","Justin Falco","82","231","27","5","4","1988","USDL","1","Idaho","9","Idaho","9","N/A","0","Broken Ankle","37","True","1","9","Morgan State","Bowie","MD","14","2","70","80","D-","B-","C ","F-","F-","D-","D-","F-","C-","F ","F-","C ","C-","C ","C ","C-","F ","B ","C ","F ","F ","F ","D ","F ","D ","F ","F ","C ","F","F","43","44","0","0","0","0","23000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","","Haywood","Smith","Haywood Smith","87","227","25","2","21","1991","USDL","1","Delaware","18","Delaware","18","N/A","0","","0","False","1","5","UCLA","Murrieta","CA","56","2","57","55","F-","D+","C-","F-","D-","F ","D ","F ","C ","F ","F+","F+","F ","A-","C ","C ","F ","D ","D ","F ","D ","F ","D ","F ","B ","F ","D ","D ","F","F","46","57","0","0","0","0","74102","79899","85697","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"62","","Tuan","Green","Tuan Green","83","238","22","9","5","1993","USDL","1","Maine","12","Maine","12","N/A","0","","0","False","1","1","Kansas","Brownsburg","IN","80","37","95","44","F ","F+","C ","F-","D+","F ","F+","F+","C-","D-","F-","D ","F ","C-","C+","D ","F ","D ","C ","F ","D ","F ","F ","F ","C ","D ","F ","D ","F","F","36","42","0","0","0","0","11100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","","Rusty","Barton","Rusty Barton","83","226","22","9","30","1993","USDL","1","Reno","13","Reno","13","N/A","0","","0","True","1","0","Oklahoma","Mansfield","AR","51","65","58","89","F-","F-","C-","F-","F ","F-","F ","F ","D ","F-","F-","F ","F ","C+","D-","D+","F ","F ","D ","F ","F ","F ","D ","F ","C ","F ","F ","F ","F","F","25","39","0","0","0","0","7600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","","Delbert","Benjamin","Delbert Benjamin","82","271","24","11","7","1991","USDL","1","Sioux Falls","16","Sioux Falls","16","N/A","0","","0","False","1","4","Illinois","New York","NY","37","41","60","24","F+","D-","C-","F-","F ","F ","C ","C ","C-","F-","F-","F ","D-","B-","C ","C ","F ","D ","D ","F ","F ","F ","C ","B ","D ","F ","F ","F ","F","F","47","58","0","0","0","0","100327","110360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"65","","Kendrick","Madden","Kendrick Madden","83","229","29","12","13","1986","USDL","1","Erie","7","Erie","7","N/A","0","","0","False","1","10","Providence","Evansburg","PA","38","20","49","81","C-","F+","C ","F-","F+","F+","C ","D ","F+","F-","F ","C-","F ","B+","D+","C ","D ","F ","C ","F ","F ","F ","C ","D ","F ","F ","F ","D ","F","F","48","53","0","0","0","0","185540","186412","187284","188156","0","0","0","0","0","0","0","0","0","0","0","0","6"
"66","","Ray","Lewis","Ray Lewis","83","234","23","1","18","1993","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","2","Northern Arizona","Belmont","CA","74","9","44","89","F ","D ","C ","F-","F ","F-","F ","F+","C-","F-","F ","D-","D ","C-","C ","B+","F ","C ","C ","F ","F ","F ","F ","D ","C ","F ","F ","D ","F","F","41","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","","Donte","Dalrymple","Donte Dalrymple","85","228","30","6","12","1985","USDL","1","Delaware","18","Delaware","18","N/A","0","","0","False","1","10","Nebraska","Springfield","IL","2","34","6","42","F+","C-","B ","F-","D-","F+","C ","D ","C-","F-","D ","C ","F-","C+","F+","C ","F ","D ","B ","F ","D ","F ","C ","D ","D ","F ","D ","C ","F","F","53","55","0","3","0","0","64818","70003","75189","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"68","","Eutropio","Francia","Eutropio Francia","84","229","32","6","27","1983","USDL","1","Oklahoma City","20","Oklahoma City","20","N/A","0","Broken Nose","0","False","2","12","Auburn","Pinewood","FL","86","42","37","76","F ","F ","C ","F-","F ","F-","C ","C-","C ","F ","F ","F+","F-","B ","F+","C+","F ","F ","D ","F ","F ","F ","C ","D ","D ","F ","F ","F ","F","F","53","57","0","0","0","0","247316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"69","","Scott","Roberts","Scott Roberts","86","229","27","2","7","1989","USDL","1","Westchester","22","Westchester","22","N/A","0","","0","False","1","4","Michigan State","Philadelphia","PA","9","32","79","77","F-","C-","C ","F-","F+","F-","D+","F ","D+","F ","F ","D ","F-","A-","D+","D-","F ","D ","B ","F ","F ","F ","D ","F ","D ","F ","F ","D ","F","F","37","41","0","1","0","0","14100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","","John","Hart","John Hart","90","201","27","10","21","1988","USDL","1","Los Angeles","11","Los Angeles","11","N/A","0","","0","False","1","4","Stanford","Tacoma","WA","1","65","100","97","D-","F+","F+","F-","D-","F ","F+","F ","C-","F ","F ","F+","D ","C+","D ","C ","D ","F ","F ","F ","D ","F ","F ","F ","D ","F ","F ","F ","F","F","38","40","0","0","0","0","14100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","","Mark","Wilson","Mark Wilson","84","215","35","4","5","1981","USDL","1","Maine","12","Maine","12","N/A","0","","0","False","1","14","Kansas","Wichita","KS","36","13","75","15","C ","F+","C ","F-","D-","F ","F-","D-","C-","F ","F ","D ","F-","B-","F+","D+","C ","F ","C ","F ","D ","F ","F ","D ","D ","F ","F ","D ","F","F","49","56","0","2","0","0","215016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"72","","Lonnie","Orth","Lonnie Orth","84","246","30","10","5","1985","USDL","1","Westchester","22","Westchester","22","N/A","0","","0","False","1","9","Michigan","Sterling Heights","MI","94","65","97","39","D-","F-","C-","F-","F+","D ","F-","F ","C-","F-","D-","D+","F-","C ","D ","D ","F ","F ","D ","F ","F ","D ","F ","F ","C ","F ","D ","D ","F","F","36","40","0","0","0","0","23000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","","Daniel","Small","Daniel Small","83","284","27","7","16","1988","USDL","1","Reno","13","Reno","13","N/A","0","Broken Finger","0","False","1","9","None","Perth","Australia","63","27","80","78","C-","F ","D+","F-","C ","F ","C-","F ","C-","F+","F+","C-","F ","B-","D ","D ","D ","F ","D ","F ","C ","F ","C ","F ","C ","F ","F ","D ","F","F","45","51","0","0","0","0","88923","95629","102334","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"74","","Patrick","Thompson","Patrick Thompson","81","230","29","10","15","1986","USDL","1","Grand Rapids","19","Grand Rapids","19","N/A","0","","0","False","2","6","Hawaii","Haiku-Pauwela","HI","40","30","65","76","F ","D ","B-","F-","C ","D-","B-","D ","A ","F ","F ","C ","F-","C ","D+","C-","F ","D ","B ","F ","C ","F ","B ","D ","A ","F ","F ","C ","F","D","58","60","0","3","0","0","179972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"75","","Mason","Adams","Mason Adams","80","237","35","11","1","1980","USDL","1","Oklahoma City","20","Oklahoma City","20","N/A","0","","0","False","2","15","Morehead State","Bellevue","KY","23","2","80","35","D+","F ","D+","F-","F+","F ","D+","D+","F ","F ","F+","C ","F-","B+","D ","C ","D ","F ","D ","F ","F ","F ","D ","D ","F ","F ","F ","B ","F","F","42","47","0","0","0","0","23800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","","Wesley","Rodgers","Wesley Rodgers","83","219","37","2","10","1979","USDL","1","Oklahoma City","20","Oklahoma City","20","N/A","0","","0","False","1","13","Texas A&M-CC","Penn Hills","PA","35","30","24","49","C-","D-","C ","F-","D+","F-","C ","C-","D ","F+","D-","D+","D-","A-","C+","A-","D ","D ","C ","F ","D ","F ","B ","C ","D ","F ","D ","D ","D","D","64","72","0","3","0","0","303048","308748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"77","","Jaime","Jones","Jaime Jones","85","254","25","6","15","1990","USDL","1","Canton","6","Canton","6","N/A","0","Severe Migraines","0","False","1","3","Minnesota","Appleton","WI","62","2","56","93","F+","F+","C ","F-","F+","F ","F ","D ","D ","F-","F-","C ","F ","B-","D+","C-","F ","D ","C ","F ","D ","F ","F ","D ","D ","F ","F ","C ","F","F","43","47","0","0","0","0","20250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"78","","Robert","Hunt","Robert Hunt","83","247","24","3","28","1992","USDL","1","FA","-1","FA","-1","N/A","0","","0","True","1","3","Arkansas","Houston","TX","87","65","69","41","F-","F ","C ","F-","F+","F ","F ","F-","D-","F-","D-","F+","F ","C+","D-","C-","F ","F ","C ","F ","D ","F ","D ","F ","D ","F ","D ","D ","F","F","23","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","","Kevin","Davis","Kevin Davis","85","243","33","3","14","1983","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","10","Cincinnati","Chicago","IL","31","49","22","1","C-","F ","C-","F-","F ","F ","C-","D ","C ","D ","D-","C+","D+","A-","C ","C ","C ","F ","D ","F ","F ","F ","D ","D ","C ","D ","F ","B ","D","D","68","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","","Emmitt","Bowman","Emmitt Bowman","84","231","26","7","24","1989","USDL","1","Iowa","10","Iowa","10","N/A","0","","0","False","1","7","Louisiana Tech","Timberlane","LA","69","28","15","62","F+","C-","B+","F-","F+","F-","F+","D+","D ","F-","D-","F+","F ","A-","C-","D ","D ","C ","B ","F ","F ","F ","F ","D ","D ","F ","D ","D ","F","F","43","50","0","2","0","0","88923","100038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"81","","Len","Gatlin","Len Gatlin","89","228","38","4","15","1978","USDL","1","Delaware","18","Delaware","18","N/A","0","Jammed Finger","0","False","1","19","Southern Methodist","San Francisco","CA","58","26","24","63","F-","D+","C+","F-","D ","D-","D+","B+","C-","D-","F ","C+","C-","B ","C-","D-","F ","D ","B ","F ","D ","F ","D ","B ","D ","D ","F ","B ","D","D","62","65","0","0","0","0","298404","307371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"82","","Robert","Wilkins","Robert Wilkins","83","242","21","5","15","1994","USDL","1","Toronto","21","Toronto","21","N/A","0","","0","False","1","0","Maryland","Halfway","MD","25","2","70","60","D ","D ","C ","F-","F+","F-","F ","D+","D ","F+","F+","D-","F ","B ","F-","C ","C ","D ","C ","F ","D ","F ","F ","C ","D ","D ","D ","D ","F","D","41","60","0","0","0","0","8335","11100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","","Kenneth","Rodriguez","Kenneth Rodriguez","83","241","31","3","1","1985","USDL","1","FA","-1","FA","-1","N/A","0","","0","False","1","10","San Diego","Bakersfield","CA","79","88","45","31","F-","D+","D ","F-","D-","F-","D+","C ","D-","F+","D ","D ","C ","B-","B+","A+","F ","D ","D ","F ","F ","F ","D ","C ","D ","F ","D ","D ","F","D","56","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","","Benton","Morton","Benton Morton","84","245","23","11","15","1992","USDL","1","Idaho","9","Idaho","9","N/A","0","","0","False","1","0","Duke","Jacksonville","FL","23","37","53","37","F ","F ","C-","F-","F ","F-","D-","C-","D ","F-","D-","D+","F-","B+","F-","C-","F ","F ","D ","F ","F ","F ","F ","C ","D ","F ","D ","C ","F","F","42","56","0","0","0","0","13315","14979","16644","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","","Oscar","Vaughan","Oscar Vaughan","84","232","26","2","11","1990","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","","0","False","1","2","Cal State Fullerton","Cudahy","CA","70","2","14","97","D ","C ","C+","F-","C+","F ","C-","F ","D-","F ","D-","C-","D-","C+","D ","B ","D ","C ","B ","F ","C ","F ","D ","F ","D ","F ","F ","D ","F","F","49","53","0","3","1","0","37108","38971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"86","","James","Alessi","James Alessi","84","230","29","5","16","1986","USDL","1","Erie","7","Erie","7","N/A","0","","0","False","1","7","Utah","Visalia","CA","19","39","91","22","F+","F+","C ","F-","F-","F-","D ","F+","C ","F ","F-","C+","D-","C ","C ","B ","F ","F ","C ","F ","F ","F ","D ","F ","C ","F ","F ","C ","F","F","53","57","0","0","0","0","211985","221722","231459","241196","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","","Carlo","Santos","Carlo Santos","84","240","20","10","16","1995","USDL","1","Texas","17","Texas","17","N/A","0","","0","True","1","0","Washington","McKinleyville","CA","49","52","34","3","F ","F ","C ","F-","F+","F ","F ","F ","F ","F ","D-","F+","F ","C ","C ","D+","F ","D ","C ","F ","D ","F ","F ","F ","F ","F ","C ","D ","F","F","27","38","0","0","0","0","7600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","","Miro","Mankoc","Miro Mankoc","85","235","33","4","24","1983","USDL","1","Fort Wayne","8","Fort Wayne","8","N/A","0","","0","False","1","10","None","Kranj","Slovenia","87","33","45","82","F-","C ","B ","F-","F-","F ","C-","F+","B-","F-","D-","D-","C-","C+","B ","B+","F ","C ","A ","F ","F ","F ","D ","F ","B ","F ","F ","F ","D","D","61","63","0","8","0","0","295308","307413","319518","331623","0","0","0","0","0","0","0","0","0","0","0","0","1"
"89","","Robert","Perez","Robert Perez","86","231","27","5","25","1988","USDL","1","Texas","17","Texas","17","N/A","0","","0","False","1","8","Jacksonville State","San Bernardino","CA","56","11","50","79","F ","D ","C+","F-","F+","F+","F-","C ","C+","F ","F ","C ","F ","B ","C-","D ","F ","D ","C ","F ","F ","F ","F ","C ","B ","F ","F ","D ","F","D","59","61","0","0","0","0","245159","259711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"90","","Tobias","Jenkins","Tobias Jenkins","84","222","19","3","12","1997","USDL","1","Iowa","10","Iowa","10","N/A","0","","0","False","1","0","Northern Iowa","Joliet","IL","36","21","73","71","F-","F ","C ","F-","F+","D-","F+","F+","F+","F ","F-","F+","C ","C ","C+","C+","F ","F ","C ","F ","D ","D ","D ","D ","D ","F ","F ","D ","F","F","34","48","0","0","0","0","7600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","","Hubert","Taylor","Hubert Taylor","86","224","30","6","2","1985","USDL","1","Toronto","21","Toronto","21","N/A","0","","0","False","2","7","New Mexico","Shiprock","NM","41","28","41","22","F-","D+","C+","F-","F+","F+","C ","D-","B ","F ","F+","C+","F-","C+","D-","D+","F ","D ","B ","F ","F ","F ","D ","D ","B ","F ","F ","C ","F","F","57","59","0","2","0","0","231890","244541","257191","269842","282493","0","0","0","0","0","0","0","0","0","0","0","7"
"92","","Chris","Poff","Chris Poff","81","251","34","2","4","1982","USDL","1","Toronto","21","Toronto","21","N/A","0","","0","False","1","15","Georgia","Moultrie","GA","77","37","65","58","F-","D-","C ","F-","F ","F+","F+","C-","C-","F-","F ","F-","D-","B+","C ","C ","F ","F ","C ","F ","F ","F ","F ","D ","D ","F ","F ","F ","F","F","38","39","0","0","0","0","23800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","","Daniel","Martinez","Daniel Martinez","84","237","32","7","3","1983","USDL","1","Texas","17","Texas","17","N/A","0","","0","False","1","13","Austin Peay","Garland","TX","15","17","79","14","F+","D+","B-","F-","F ","F ","D ","F+","B-","D-","F ","F+","F-","B+","F+","D+","F ","D ","B ","F ","F ","F ","D ","F ","B ","F ","F ","F ","F","F","49","54","0","1","0","0","204613","206260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"94","","Ollie","Flowers","Ollie Flowers","84","231","29","4","7","1987","USDL","1","Canton","6","Canton","6","N/A","0","Jammed Finger","0","False","1","10","Villanova","New Castle","PA","68","35","97","62","F+","F ","C-","F-","D+","F-","C-","D-","C ","F-","F ","D ","F+","B+","C ","C ","F ","F ","C ","F ","D ","F ","C ","F ","C ","F ","F ","D ","F","F","52","58","0","1","0","0","225419","236538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","","Eugenio","Hall","Eugenio Hall","83","211","24","5","10","1991","USDL","1","Sioux Falls","16","Sioux Falls","16","N/A","0","Severe Migraines","0","False","1","1","St. Francis-NY","Manchester","NH","1","22","53","57","D-","D ","C ","F-","D+","F+","F+","D+","C ","F-","F-","D ","F-","C+","C-","C-","F ","D ","C ","F ","D ","F ","F ","D ","C ","F ","F ","D ","F","F","46","48","0","0","0","0","24079","27089","30099","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
